city_code,city_name,country,latitude,longitude
LON,London,UK,51.507400,-0.127800
PAR,Paris,France,48.856600,2.352200
BER,Berlin,Germany,52.520000,13.405000
BRU,Brussels,Belgium,50.850300,4.351700
AMS,Amsterdam,Netherlands,52.367600,4.904100
HAM,Hamburg,Germany,53.551100,9.993700
MUC,Munich,Germany,48.135100,11.582000
FRA,Frankfurt,Germany,50.110900,8.682100
ZUR,Zurich,Switzerland,47.376900,8.541700
MAD,Madrid,Spain,40.416800,-3.703800
ROM,Rome,Italy,41.902800,12.496400
VIE,Vienna,Austria,48.208200,16.372500
WAW,Warsaw,Poland,52.229700,21.012200
PRG,Prague,Czechia,50.075500,14.437800
NYC,New York,USA,40.712800,-74.006000
CHI,Chicago,USA,41.878100,-87.629800
LAX,Los Angeles,USA,34.052200,-118.243700
SFO,San Francisco,USA,37.774900,-122.419400
MUM,Mumbai,India,19.076000,72.877700
DEL,Delhi,India,28.704100,77.102500
BLR,Bengaluru,India,12.971600,77.594600
SIN,Singapore,Singapore,1.352100,103.819800
HKG,Hong Kong,Hong Kong,22.319300,114.169400
TYO,Tokyo,Japan,35.689500,139.691700
DXB,Dubai,UAE,25.204800,55.270800
